Subject,Type,Total Household Gifts Currency,Total Household Gifts,Due Date,Activity ID,Contact ID
? Email: Re: ICM giving thank you,1 Email,HKD,2000,10/4/2016,00T9000003AHqEj,0039000001A03AV
Email: Re: Today's discussion and invitation to ICM Banquet,1 Email,HKD,0,9/13/2016,00T90000036Z8wV,0039000001rM7hy
Discussion on Bradbury school,4 Meeting,HKD,0,9/9/2016,00T90000034DAhh,0039000001rM7hy
? Email: Today's discussion and invitation to ICM Banquet,1 Email,HKD,0,9/8/2016,00T90000036Xm4w,0039000001rM7hy
Ongoing engagement with Bradbury school,1 Email,HKD,0,11/25/2016,00T90000036Y2O3,0039000001rM7hy
? Email: Re: Today's discussion and invitation to ICM Banquet,1 Email,HKD,0,9/19/2016,00T90000038Uepa,0039000001rM7hy
? Email: Re: Today's discussion and invitation to ICM Banquet,1 Email,HKD,0,9/19/2016,00T90000038UceH,0039000001rM7hy
? Email: Thank you,1 Email,HKD,55400,6/16/2016,00T9000002rHUlm,0039000001kGapQ
2015 B3 Success Stories,0 Other,HKD,55400,8/31/2016,00T9000003157tp,0039000001kGapQ
TF15 B3 TY cards and photo magnets,0 Other,HKD,55400,6/3/2016,00T9000002nhfSh,0039000001kGapQ
? Email: See you next Monday!,1 Email,HKD,111485,10/21/2016,00T9000003Df6Jv,0039000001gprH6
? Email: Inviting you to ICM Annual Banquet - Oct 24,1 Email,HKD,111485,7/13/2016,00T9000002wWDcE,0039000001gprH6
? Email: ICM Christmas Cocktail - Dec 7,1 Email,HKD,111485,12/3/2016,00T9000003J8X7P,0039000001gprH6
? Email: CSR representatives from UBS,1 Email,HKD,111485,8/25/2016,00T90000034AKno,0039000001gprH6
? Email: ICM pre-banquet information - Oct 24 Monday,1 Email,HKD,111485,9/29/2016,00T9000003AGgGL,0039000001gprH6
"? Email: ICM Banquet One Week Away! - Oct 24, Monday",1 Email,HKD,111485,10/18/2016,00T9000003Breei,0039000001gprH6
? Email: Fwd: Surgical Mission in Dipolog,1 Email,HKD,111485,2/8/2017,00T9000003QVaf4,0039000001gprH6
Presentation of Impact Report,5 Presentation,HKD,0,3/20/2017,00T9000003XezLM,0039000001tp1eL
? Email: Re: ICM Trip,1 Email,HKD,0,9/19/2016,00T90000038Ujmb,0039000001zCoTn
? Email: Thank you from ICM!,1 Email,HKD,75000,1/23/2017,00T9000003P0NVi,0039000000Ll5ym
? Email: Any specifics for meeting later,1 Email,HKD,15245,3/9/2017,00T9000003Uc5S2,0039000001q0lii
"? Email: Re: This is lovely and encouraging, let's be praying for IVY!",1 Email,HKD,15245,3/23/2017,00T9000003WBrUL,0039000001q0lii
"? Email: Re: Ram Mallari - ""Andromeda"" - 213",1 Email,HKD,15245,10/26/2016,00T9000003Dgk1h,0039000001q0lii
? Email: Re: Summer inter-office lunch!,1 Email,HKD,15245,7/27/2016,00T9000002yUZ8X,0039000001q0lii
? Email: Re: Summer inter-office lunch!,1 Email,HKD,15245,7/27/2016,00T9000002yUV1v,0039000001q0lii
? Email: Re: Spotify Family Plan,1 Email,HKD,15245,8/18/2016,00T90000032IQTT,0039000001q0lii
? Email: Pinky Ang,1 Email,HKD,15245,6/3/2016,00T9000002pVgYP,0039000001q0lii
? Email: ICM: A&O Report and photos from family day,1 Email,HKD,15245,4/18/2017,00T9000003Z9M02,0039000001q0lii
? Email: Re: Nick Kee DR - report,1 Email,HKD,15245,7/19/2016,00T9000002wYGzI,0039000001q0lii
? Email: Re: Donor Development,1 Email,HKD,15245,8/19/2016,00T90000032JEyN,0039000001q0lii
? Email: Re: Donor Development,1 Email,HKD,15245,8/19/2016,00T90000032JEyD,0039000001q0lii
Email: Donation,1 Email,HKD,15245,12/24/2016,00T9000003LlTYs,0039000001q0lii
? Email: Debriefing for internship at ICM,1 Email,HKD,15245,6/15/2016,00T9000002rGraZ,0039000001q0lii
? Email: Re: Meeting with ICM's Marketing and Communications Department,1 Email,HKD,15245,6/7/2016,00T9000002pWtxh,0039000001q0lii
? Email: Meeting with ICM's Marketing and Communications Department,1 Email,HKD,15245,6/7/2016,00T9000002pWt69,0039000001q0lii
? Email: Re: Potential Camp Songs,1 Email,HKD,15245,4/5/2017,00T9000003Xg4h7,0039000001q0lii
? Email: Kids Camp - Pre-Trip Meeting THIS Saturday!,1 Email,HKD,15245,2/20/2017,00T9000003SNuCV,0039000001q0lii
? Email: Re: Kids Camp - Pre-Trip Meeting THIS Saturday!,1 Email,HKD,15245,2/24/2017,00T9000003SR9NE,0039000001q0lii
? Email: Re: Kids Camp - Pre-Trip Meeting THIS Saturday!,1 Email,HKD,15245,2/24/2017,00T9000003SR8Zc,0039000001q0lii
? Email: Re: Kids Camp - Pre-Trip Meeting THIS Saturday!,1 Email,HKD,15245,2/24/2017,00T9000003SRBmy,0039000001q0lii
? Email: Re: Save the Date: ICM Sydney Dinner 3 June 2017,1 Email,HKD,15245,2/27/2017,00T9000003T07fI,0039000001q0lii
? Email: Donated items for Kids Camp,1 Email,HKD,15245,3/13/2017,00T9000003UeAC5,0039000001q0lii
? Email: March 18: Grand Austin Clubhouse,1 Email,HKD,15245,3/15/2017,00T9000003Ug96O,0039000001q0lii
? Email: Sports,1 Email,HKD,15245,3/15/2017,00T9000003Ug8zf,0039000001q0lii
? Email: Re: Kid's Camp Prayer Calendar,1 Email,HKD,15245,3/22/2017,00T9000003WAjkK,0039000001q0lii
? Email: Re: Kids Camp Crafts,1 Email,HKD,15245,3/22/2017,00T9000003WB2tX,0039000001q0lii
? Email: Re: Sports,1 Email,HKD,15245,3/22/2017,00T9000003WB2Xc,0039000001q0lii
? Email: Re: Kids camp t-shirt,1 Email,HKD,15245,3/27/2017,00T9000003WEJS3,0039000001q0lii
Email: Re: Children's bibles,1 Email,HKD,15245,3/26/2017,00T9000003WDZWh,0039000001q0lii
? Email: Re: Kids camp t-shirt,1 Email,HKD,15245,3/28/2017,00T9000003WqnBt,0039000001q0lii
? Email: Re: Kids camp t-shirt,1 Email,HKD,15245,3/28/2017,00T9000003Wqnrm,0039000001q0lii
Email: Intro to Staci Atkinson from ICM,1 Email,HKD,15245,3/17/2017,00T9000003VSBSO,0039000001q0lii
? Email: Re: Garden Sisisic Hong Kong Triathlon Challenge Race 2016,1 Email,HKD,15245,6/30/2016,00T9000002ukho8,0039000001q0lii
? Email: Re: Garden Sisisic Hong Kong Triathlon Challenge Race 2016,1 Email,HKD,15245,7/4/2016,00T9000002umAc1,0039000001q0lii
? Email: Re: [Reminder] Inter- Office Lunch,1 Email,HKD,15245,8/3/2016,00T90000030Lmh3,0039000001q0lii
? Email: Re: [Reminder] Inter- Office Lunch,1 Email,HKD,15245,8/3/2016,00T90000030Loyg,0039000001q0lii
? Email: Medical Stories,1 Email,HKD,15245,9/23/2016,00T900000311sXx,0039000001q0lii
"Email: Re: Payment for recent trip to Palawan, Philippines",1 Email,HKD,177875,5/4/2017,00T9000003avEpl,003900000160DIx
Call,4 Meeting,HKD,177875,2/27/2017,00T9000003Szp8Q,003900000160DIx
Trip planning,4 Meeting,HKD,177875,2/28/2017,00T9000003SzpCc,003900000160DIx
? Email: Re: Trip to Palawan for Bright Start Kindergarten graduation,1 Email,HKD,177875,3/7/2017,00T9000003Tpuyr,003900000160DIx
? Email: Re: Trip to Palawan for Bright Start Kindergarten graduation,1 Email,HKD,177875,3/14/2017,00T9000003Uel7I,003900000160DIx
? Email: ICM's new education program - Family Academy 2017-2018,1 Email,HKD,177875,3/17/2017,00T9000003VSB5v,003900000160DIx
? Email: Family Academy & coffee?,1 Email,HKD,177875,5/8/2017,00T9000003axh06,003900000160DIx
? Email: Reminder: (Wed) Feb 22nd - ICM Education Strategy Focus Group Discussion,1 Email,HKD,177875,2/20/2017,00T9000003SNpBb,003900000160DIx
? Email: The Future of ICM's Education Program,1 Email,HKD,177875,1/9/2017,00T9000003N7kSX,003900000160DIx
Email: 170310 - KOOSER,1 Email,HKD,177875,3/15/2017,00T9000003UgEBv,003900000160DIx
Email: Re: 170310 - KOOSER,1 Email,HKD,177875,3/17/2017,00T9000003VSBeK,003900000160DIx
? Email: Re: Question before we meet,1 Email,HKD,177875,11/30/2016,00T9000003J744U,003900000160DIx
? Email: Re: Bright Hope Kindergarten,1 Email,HKD,177875,11/25/2016,00T9000003HWg4V,003900000160DIx
? Email: Re: Question before we meet,1 Email,HKD,177875,11/28/2016,00T9000003HX85V,003900000160DIx
? Email: Re: Bright Hope Kindergarten,1 Email,HKD,177875,11/17/2016,00T9000003GT4KN,003900000160DIx
? Email: Re: Bright Hope Kindergarten,1 Email,HKD,177875,11/18/2016,00T9000003HUVYW,003900000160DIx
? Email: Re: Bright Hope Kindergarten,1 Email,HKD,177875,11/21/2016,00T9000003HUpRa,003900000160DIx
? Email: Re: Bright Hope Kindergarten,1 Email,HKD,177875,11/21/2016,00T9000003HUrLs,003900000160DIx
? Email: Re: Jumpstart name,1 Email,HKD,177875,8/12/2016,00T90000032GPiU,003900000160DIx
Email: Re: Jumpstart name,1 Email,HKD,177875,8/12/2016,00T90000032GPj8,003900000160DIx
? Email: ICM Pastors,1 Email,HKD,177875,1/11/2017,00T9000003N8vA4,003900000160DIx
? Email: Re: Jumpstart Graduation,1 Email,HKD,177875,2/13/2017,00T9000003RMmUq,003900000160DIx
? Email: Bright Hope Kindergarten,1 Email,HKD,177875,9/30/2016,00T9000003AHCdW,003900000160DIx
Email: Have a wonderful summer,1 Email,HKD,85000,6/22/2016,00T9000002t8VKs,0039000001gKBmz
? Email: Have a wonderful summer,1 Email,HKD,85000,6/22/2016,00T9000002t8VKi,0039000001gKBmz
? Email: Re: Have a wonderful summer,1 Email,HKD,85000,7/28/2016,00T9000002yUxWC,0039000001gKBmz
? Email: Thank You!,1 Email,HKD,75005.6,6/2/2016,00T9000002pUwu2,00390000019zkhl
Visit to ICM office with Isabel,4 Meeting,HKD,75005.6,8/30/2016,00T90000034D5rK,00390000019zkhl
Email: Drought Relief in the Philippines - deep thanks for your support!,1 Email,HKD,75005.6,11/16/2016,00T9000003GSNam,00390000019zkhl
Email: A big thank you to Isabel from ICM!,1 Email,HKD,75005.6,9/1/2016,00T90000034ChjT,00390000019zkhl
TwoPresents check and cert presentation at office,4 Meeting,HKD,75005.6,8/30/2016,00T9000002wWBpJ,00390000019zkhl
? Email: Re: How can ICM serve you better?,1 Email,HKD,1030,7/22/2016,00T9000002yTCOB,0039000000x3QBF
? Email: Luncheon - Oct 25th,1 Email,HKD,7000,10/19/2016,00T9000003Ddaoj,0039000001j1gor
? Email: How can ICM serve you better?,1 Email,HKD,7000,7/14/2016,00T9000002wWmp7,0039000001j1gor
? Email: Thanks for yesterday's call,1 Email,HKD,0,11/30/2016,00T9000003HY9wy,0039000000zNSV7
? Email: Re: ICM draft points for global grant application (0010023-0011071),1 Email,HKD,0,12/19/2016,00T9000003KJaXf,0039000000zNSV7
? Email: ICM draft points for global grant application,1 Email,HKD,0,12/14/2016,00T9000003KHjQI,0039000000zNSV7
Email: ICM UK Launch Event,1 Email,HKD,0,7/4/2016,00T9000002um8fm,0039000000zNSV7
2015 B3 Success Stories,0 Other,HKD,594640,8/30/2016,00T9000003156Vf,0039000000MLwfM
2015 B3 Success Stories,0 Other,HKD,594640,8/31/2016,00T9000003156db,0039000000MLwfM
TF15 B3 TY cards and photo magnets,0 Other,HKD,594640,6/3/2016,00T9000002nhemb,0039000000MLwfM
? Email: See you next Monday!,1 Email,HKD,14755,10/21/2016,00T9000003Df6Jb,00390000021ZgyO
"Email: ICM banquet One Week Away - Oct 24, Monday",1 Email,HKD,14755,10/18/2016,00T9000003Dd0W5,00390000021ZgyO
? Email: Meeting,1 Email,HKD,74598,8/31/2016,00T90000034CG7Q,0039000000EfPQY
Email: Fwd: UK Launch,1 Email,HKD,0,6/24/2016,00T9000002t9U9L,0039000000Igkvm
? Email: Thank You + List,1 Email,HKD,0,11/24/2016,00T9000003HWUwa,003900000161XAS
? Email: Re: Thank You + List,1 Email,HKD,0,11/25/2016,00T9000003HWgQR,003900000161XAS
? Email: Hello,1 Email,HKD,0,8/18/2016,00T90000032IbtO,003900000161XAS
? Email: Re: Hello,1 Email,HKD,0,8/22/2016,00T90000032JjAH,003900000161XAS
? Email: Re: just checking,1 Email,HKD,0,12/1/2016,00T9000003J7ewq,003900000161XAS
? Email: Kellet Kindergarten Relocation- Good news!,1 Email,HKD,0,6/13/2016,00T9000002rFsW7,003900000161XAS
? Email: Re: Free this week?,1 Email,HKD,0,6/13/2016,00T9000002rFrO0,003900000161XAS
Proposal,4 Meeting,HKD,0,6/21/2016,00T9000002rFu0n,003900000161XAS
? Email: Re: ICM Uniforms,1 Email,HKD,0,8/31/2016,00T90000034CEeS,003900000161XAS
? Email: Re: ICM Uniforms,1 Email,HKD,0,8/23/2016,00T900000349WcS,003900000161XAS
? Email: Re: ICM Uniforms,1 Email,HKD,0,8/24/2016,00T900000349nqM,003900000161XAS
? Email: Re: ICM Uniforms,1 Email,HKD,0,8/24/2016,00T900000349nrF,003900000161XAS
? Email: Jumpstart Kindergarten Profile,1 Email,HKD,0,9/28/2016,00T9000003AGAJP,003900000161XAS
? Email: Class Photos,1 Email,HKD,0,9/30/2016,00T9000003AHCxq,003900000161XAS
? Email: Class Photos,1 Email,HKD,0,9/30/2016,00T9000003AHCxg,003900000161XAS
Email: Re: 170302 - Kellett - Registration,1 Email,HKD,0,1/10/2017,00T9000003N8AM5,003900000161XAS
Email: 170302 - Kellett - Registration,1 Email,HKD,0,1/10/2017,00T9000003N89p6,003900000161XAS
JS2015 Scrapbooks,4 Meeting,HKD,78500,6/7/2016,00T9000002az8ZB,0039000000H5ORj
? Email: Re: Hello,1 Email,HKD,78500,9/9/2016,00T90000036Y1EC,0039000000H5ORj
? Email: Reminder: (Wed) Feb 22nd - ICM Education Strategy Focus Group Discussion,1 Email,HKD,78500,2/20/2017,00T9000003SNpBb,0039000000H5ORj
Email: Re: Easter Kids Camp Info session,1 Email,HKD,78500,11/14/2016,00T9000003GQvsW,0039000000H5ORj
? Email: Re: Easter Kids Camp Info session,1 Email,HKD,78500,11/14/2016,00T9000003GREO7,0039000000H5ORj
Email: Emmanuel Kindergarten - changes to ICM's education strategy,1 Email,HKD,78500,4/6/2017,00T9000003XhNeC,0039000000H5ORj
Email: Hello,1 Email,HKD,78500,7/25/2016,00T9000002yTdfF,0039000000H5ORj
? Email: ICM Prayer Night - Jan 25th,1 Email,HKD,78500,1/10/2017,00T9000003N8IEN,0039000000H5ORj
? Email: The Future of ICM's Education Program,1 Email,HKD,78500,1/9/2017,00T9000003N7kSX,0039000000H5ORj
? Email: Kids Camp is coming up soon!,1 Email,HKD,78500,1/9/2017,00T9000003N7e8n,0039000000H5ORj
? Email: Emmanuel Kindergarten Community,1 Email,HKD,78500,8/26/2016,00T90000034AoW0,0039000000H5ORj
Email: Emmanuel Kindergarten Community,1 Email,HKD,78500,8/26/2016,00T90000034AoXN,0039000000H5ORj
connect on ICM,4 Meeting,HKD,78500,9/30/2016,00T90000036aHyo,0039000000H5ORj
? Email: Re: Hello,1 Email,HKD,78500,9/15/2016,00T90000036aHYH,0039000000H5ORj
? Email: Re: Hello,1 Email,HKD,78500,9/19/2016,00T90000038UkVC,0039000000H5ORj
? Email: Re: Hello,1 Email,HKD,78500,9/29/2016,00T9000003AGg2J,0039000000H5ORj
? Email: Thank you and info on Kids Camp,1 Email,HKD,78500,9/30/2016,00T9000003AH514,0039000000H5ORj
? Email: Thank you and info on Kids Camp,1 Email,HKD,78500,9/30/2016,00T9000003AH58P,0039000000H5ORj
Email: ICM - FOHKC Check acknowledgement,1 Email,HKD,78500,7/28/2016,00T9000002yUzeN,0039000000H5ORj
? Email: Re: Fwd: Tess Schedule,1 Email,HKD,10330,12/6/2016,00T9000003J9NR6,0039000000H5OS3
? Email: Re: LIST OF ALL ARTWORKS,1 Email,HKD,10330,1/18/2017,00T9000003O50eq,0039000000H5OS3
? Email: Re: Fw: Artist nida Cranbourne,1 Email,HKD,10330,1/18/2017,00T9000003O51Qs,0039000000H5OS3
? Email: Re: Fw: Artist nida Cranbourne,1 Email,HKD,10330,1/18/2017,00T9000003O50tI,0039000000H5OS3
? Email: Re: Fw: Artist nida Cranbourne,1 Email,HKD,10330,1/20/2017,00T9000003O6qhY,0039000000H5OS3
? Email: Re: Fwd: Additional artworks for the Affordable HeArt Exhibit,1 Email,HKD,10330,1/17/2017,00T9000003O4Qxp,0039000000H5OS3
? Email: Re: Fwd: Additional artworks for the Affordable HeArt Exhibit,1 Email,HKD,10330,1/17/2017,00T9000003O4K0Y,0039000000H5OS3
? Email: Re: Additional artworks for the Affordable HeArt Exhibit,1 Email,HKD,10330,1/16/2017,00T9000003O3nTi,0039000000H5OS3
? Email: Re: Fwd: Additional artworks for the Affordable HeArt Exhibit,1 Email,HKD,10330,1/17/2017,00T9000003O4KbV,0039000000H5OS3
? Email: Re: ADDITIONAL pHOTOS,1 Email,HKD,10330,1/11/2017,00T9000003N91vX,0039000000H5OS3
? Email: Re: Fw: The Goat Herder,1 Email,HKD,10330,1/11/2017,00T9000003N966V,0039000000H5OS3
? Email: Re: ADDITIONAL pHOTOS,1 Email,HKD,10330,1/11/2017,00T9000003N90cg,0039000000H5OS3
? Email: Re: AH Online Catalogue - Invitation to edit,1 Email,HKD,10330,12/15/2016,00T9000003KI1no,0039000000H5OS3
Banquet Table,4 Meeting,HKD,10500,7/13/2016,00T9000002t9276,0039000000H5OUK
? Email: Re: enquiry,1 Email,HKD,10500,2/14/2017,00T9000003RNahM,0039000000H5OUK
? Email: Coffee,1 Email,HKD,10500,6/14/2016,00T9000002rGJqT,0039000000H5OUK
? Email: Re: enquiry,1 Email,HKD,10500,2/14/2017,00T9000003RNai0,0039000000H5OUK
? Email: Prayer Night Invitation,1 Email,HKD,821148.05,1/10/2017,00T9000003N8I1e,0039000000H5OV0
? Email: Fwd: Lorenz' Story + Banquet Update,1 Email,HKD,821148.05,8/31/2016,00T90000034CHzD,0039000000H5OV0
? Email: Re: : Lorenz' Story + Banquet Update,1 Email,HKD,821148.05,9/1/2016,00T90000034CpeI,0039000000H5OV0
Coffee with Tom,4 Meeting,HKD,821148.05,8/17/2016,00T900000349VBv,0039000000H5OV0
Dinner,4 Meeting,HKD,821148.05,8/8/2016,00T900000314gal,0039000000H5OV0
BBQ and connection strategy,3 Call,HKD,821148.05,8/15/2016,00T900000314gak,0039000000H5OV0
? Email: Thank You for Being a Table Host!,1 Email,HKD,821148.05,9/22/2016,00T900000311BWz,0039000000H5OV0
? Email: Re: Here is the suggested copy from Joey and I :)| Please see attached,1 Email,HKD,821148.05,9/29/2016,00T9000003AGh8f,0039000000H5OV0
? Email: Banquet Registration,1 Email,HKD,821148.05,10/11/2016,00T9000003Bp9ie,0039000000H5OV0
? Email: THE Walsh Table,1 Email,HKD,821148.05,10/17/2016,00T9000003BraYg,0039000000H5OV0
? Email: Re: THE Walsh Table,1 Email,HKD,821148.05,10/17/2016,00T9000003BrahZ,0039000000H5OV0
? Email: Seating Arrangements,1 Email,HKD,821148.05,10/19/2016,00T9000003DdWwa,0039000000H5OV0
"Feedback on ICM, related to younger Donors",4 Meeting,HKD,821148.05,8/17/2016,00T90000034CaXF,0039000000H5OV0
Email: ICM UK,1 Email,HKD,821148.05,7/12/2016,00T9000002wVn18,0039000000H5OV0
Email: ICM Hong Kong Banquet 2016 Invoice,1 Email,HKD,821148.05,7/27/2016,00T9000002yURB1,0039000000H5OV0
? Email: ICM Hong Kong Banquet 2016 Payment Reminder,1 Email,HKD,821148.05,9/26/2016,00T900000312L0p,0039000000H5OV0
Email: Re: ICM Hong Kong Banquet 2016 Payment Reminder,1 Email,HKD,821148.05,9/29/2016,00T9000003AGgMO,0039000000H5OV0
Email: Re: Official Receipt from International Care Ministries,1 Email,HKD,821148.05,9/29/2016,00T9000003AGgcb,0039000000H5OV0
? Email: Update,1 Email,HKD,216000,2/24/2017,00T9000003SRMs7,0039000000H5OU3
Check Collection,4 Meeting,HKD,216000,2/16/2017,00T9000003SRGx7,0039000000H5OU3
? Email: Fwd: Update,1 Email,HKD,216000,3/9/2017,00T9000003Uc8e7,0039000000H5OU3
? Email: Re: Update,1 Email,HKD,216000,3/8/2017,00T9000003Tr1vL,0039000000H5OU3
? Email: Thank You,1 Email,HKD,216000,10/27/2016,00T9000003EmXHm,0039000000H5OU3
? Email: Felix,1 Email,HKD,216000,3/9/2017,00T9000003UcFgR,0039000000H5OU3
? Email: Re: Felix,1 Email,HKD,216000,3/10/2017,00T9000003UdF69,0039000000H5OU3
Email: ICM auction,1 Email,HKD,60000,7/29/2016,00T9000002yVnDx,0039000000H5OSu
Email: Re: ICM auction,1 Email,HKD,60000,8/22/2016,00T90000032JZML,0039000000H5OSu
? Email: Re: ICM auction,1 Email,HKD,60000,8/31/2016,00T90000034C9B5,0039000000H5OSu
? Email: Re: ICM auction,1 Email,HKD,60000,8/31/2016,00T90000034C2k0,0039000000H5OSu
? Email: See you next Monday!,1 Email,HKD,111485,10/21/2016,00T9000003Df6Jv,0039000001bzZlk
? Email: Inviting you to ICM Annual Banquet - Oct 24,1 Email,HKD,111485,7/13/2016,00T9000002wWDcE,0039000001bzZlk
? Email: Come and join us on Dec 1!,1 Email,HKD,111485,11/21/2016,00T9000003HV0M8,0039000001bzZlk
? Email: Re: Come and join us on Dec 1!,1 Email,HKD,111485,11/23/2016,00T9000003HVurj,0039000001bzZlk
Email: Adopt A Patient update,1 Email,HKD,111485,12/7/2016,00T9000003JA1AL,0039000001bzZlk
? Email: ICM Christmas Cocktail - Dec 7,1 Email,HKD,111485,12/3/2016,00T9000003J8X7P,0039000001bzZlk
? Email: ICM pre-banquet information - Oct 24 Monday,1 Email,HKD,111485,9/29/2016,00T9000003AGgGL,0039000001bzZlk
Email: Adopt-A-Patient update,1 Email,HKD,111485,3/27/2017,00T9000003WE1jA,0039000001bzZlk
"? Email: ICM Banquet One Week Away! - Oct 24, Monday",1 Email,HKD,111485,10/18/2016,00T9000003Breei,0039000001bzZlk
? Email: Fwd: Surgical Mission in Dipolog,1 Email,HKD,111485,2/8/2017,00T9000003QVaf4,0039000001bzZlk
? Email: ICM Transform Community,1 Email,HKD,20000,5/11/2017,00T9000003bkXCH,0039000000H5OVm
Email: Fwd: feedback on budget proposal,1 Email,HKD,0,6/13/2016,00T9000002rFvNP,0039000001tpRyx
? Email: ICM giving thanks,1 Email,HKD,2600,10/3/2016,00T9000003AHcw5,0039000000H5OUx
? Email: Thank You,1 Email,HKD,157101.85,10/26/2016,00T9000003DgpLZ,0039000000H5OUw
? Email: Christmas Cocktail,1 Email,HKD,157101.85,11/28/2016,00T9000003HXD2W,0039000000H5OUw
? Email: Prayer Night Invitation,1 Email,HKD,157101.85,1/10/2017,00T9000003N8I1e,0039000000H5OUw
? Email: Re: Christmas Cocktail,1 Email,HKD,157101.85,12/2/2016,00T9000003J8MAD,0039000000H5OUw
? Email: Re: Thank You,1 Email,HKD,157101.85,10/28/2016,00T9000003En17g,0039000000H5OUw
? Email: Hello!,1 Email,HKD,157101.85,5/11/2017,00T9000003bkPcv,0039000000H5OUw
Meeting,4 Meeting,HKD,157101.85,9/20/2016,00T90000038V8t4,0039000000H5OUw
? Email: Re: Thank You,1 Email,HKD,157101.85,10/6/2016,00T9000003AJ9tW,0039000000H5OUw
Call,3 Call,HKD,157101.85,10/1/2016,00T90000036Wbow,0039000000H5OUw
? Email: Thank You,1 Email,HKD,157101.85,9/21/2016,00T9000003109tu,0039000000H5OUw
? Email: Authentic Faith resource,1 Email,HKD,157101.85,9/27/2016,00T9000003AFXuQ,0039000000H5OUw
? Email: Re: Authentic Faith resource,1 Email,HKD,157101.85,9/30/2016,00T9000003AH4S2,0039000000H5OUw
? Email: Re: Christmas Cocktail,1 Email,HKD,216000,12/14/2016,00T9000003KHbn9,0039000000H5OUm
? Email: Christmas Cocktail,1 Email,HKD,216000,12/6/2016,00T9000003J9O9w,0039000000H5OUm
? Email: Felix,1 Email,HKD,216000,3/9/2017,00T9000003UcFgR,0039000000H5OUm
? Email: Re: Christmas Cocktail,1 Email,HKD,216000,2/13/2017,00T9000003RMvjG,0039000000H5OUm
? Email: Re: Felix,1 Email,HKD,216000,3/10/2017,00T9000003UdF69,0039000000H5OUm
? Email: Re: Felix,1 Email,HKD,216000,3/10/2017,00T9000003UdFFC,0039000000H5OUm
? Email: Re: Felix,1 Email,HKD,216000,3/10/2017,00T9000003UdFLB,0039000000H5OUm
"? Email: Save the date: Oct 24, 2016 - ICM Annual Banquet",1 Email,HKD,77000,8/31/2016,00T90000034CCPa,0039000000H5OUe
"? Email: Re: Save the date: Oct 24, 2016 - ICM Annual Banquet",1 Email,HKD,77000,9/26/2016,00T900000312JHe,0039000000H5OUe
"? Email: Re: Save the date: Oct 24, 2016 - ICM Annual Banquet",1 Email,HKD,77000,9/26/2016,00T900000312PbP,0039000000H5OUe
Partnership with Variety,5 Presentation,HKD,77000,9/30/2016,00T9000002ngNNs,0039000000H5OUe
? Email: Kindergarten Update,1 Email,HKD,265375,8/24/2016,00T900000349tDN,0039000000jf6Nf
? Email: Christmas Cocktail Invite,1 Email,HKD,265375,11/28/2016,00T9000003HXDF4,0039000000jf6Nf
? Email: Re: Box of Hope Invite + Lunch?,1 Email,HKD,265375,11/15/2016,00T9000003GRepL,0039000000jf6Nf
? Email: Re: Box of Hope Invite + Lunch?,1 Email,HKD,265375,11/9/2016,00T9000003GPU91,0039000000jf6Nf
? Email: Re: Box of Hope Invite + Lunch?,1 Email,HKD,265375,11/16/2016,00T9000003GS8PD,0039000000jf6Nf
? Email: Re: Box of Hope Invite + Lunch?,1 Email,HKD,265375,11/4/2016,00T9000003EpN1P,0039000000jf6Nf
? Email: Box of Hope Invite + Lunch?,1 Email,HKD,265375,11/3/2016,00T9000003Eor0s,0039000000jf6Nf
